,Year,Country,Region,city,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type,Motive
39425,2015,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Bus Stop,"01/18/2015: An explosive device planted near a bus stop was discovered and defused in Sultangazi neighborhood, Istanbul city, Istanbul province, Turkey. This was one of three related bombings in Istanbul on the same day. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that it was carried out in retaliation for events in Cizre.",Kurdistan Workers' Party (PKK),Transportation,Explosives,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that it was carried out in retaliation for events in Cizre.
39882,2015,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,3.0,Magazine Offices,"03/25/2015: An explosive device detonated outside the offices of Adimlar, an anti-United States and pro-Islamic State of Iraq and the Levant (ISIL) magazine, in Kagithane neighborhood, Istanbul city, Istanbul province, Turkey. At least one person, a writer, was killed and three others, including the editor-in-chief, were wounded in the blast. The People's Defense Unit (Turkey) claimed responsibility and stated that it targeted the magazine for their justification of mass murders carried out by ISIL.",People's Defense Unit (Turkey),Journalists & Media,Explosives,The People's Defense Unit (Turkey) claimed responsibility for the incident and stated that they attacked Adimlar Magazine in retaliation for their justification of mass murders.
39906,2015,Turkey,Middle East & North Africa,Istanbul,Assassination,3,0.0,Prosecutor: Mehmet Selim Kiraz,"03/31/2015: Assailants held prosecutor Mehmet Selim Kiraz hostage at a courthouse in Istanbul city, Istanbul province, Turkey. Kiraz, who was investigating the killing of a civilian by police, and two assailants were killed when security forces stormed the building. Devrimici Halk Kurtulus Cephesi (DHKP/C) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the death of Berkin Elvan, who was killed by the authorities in 2013.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Government (General),Firearms,"Devrimici Halk Kurtulus Cephesi (DHKP/C) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the death of Berkin Elvan, who was killed by the authorities in 2013."
39984,2015,Turkey,Middle East & North Africa,Aritis,Armed Assault,1,0.0,Teacher: Suca Gennem,"04/20/2015: An assailant stabbed Suca Gennem in Pinarbasi neighborhood, Aritis town, Kahramanmaras province, Turkey. Gennem, a Syrian teacher, was killed in the assault. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack and stated that Gennem was killed because the group believed he was a spy.",Islamic State of Iraq and the Levant (ISIL),Educational Institution,Melee,The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that Suca Gennem was targeted because ISIL believed he was a spy.
40214,2015,Turkey,Middle East & North Africa,Suruc,Bombing/Explosion,34,101.0,Press Conference,"07/20/2015: A suicide bomber detonated at a cultural center hosting anti-Islamic State of Iraq and the Levant (ISIL) activists in Suruc city, Sanliurfa province, Turkey. In addition to the bomber, 33 people were killed and more than 100 others were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) carried out the attack in retaliation for Turkey's counterterrorism efforts."
40234,2015,Turkey,Middle East & North Africa,Ceylanpinar,Armed Assault,2,0.0,"Officers: Feyyaz Ozsahra, Okan Acarwere","07/22/2015: Assailants opened fire on police officers at their shared residence in Ceylanpinar town, Sanliurfa province, Turkey. Two officers were killed in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the two police officers' alleged involvement in a suicide bombing attack in Suruc on July 20, 2015.",Kurdistan Workers' Party (PKK),Police,Firearms,"The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the two police officers' alleged involvement in a suicide bombing attack in Suruc on July 20, 2015."
40235,2015,Turkey,Middle East & North Africa,Istanbul,Armed Assault,1,0.0,Civilian: Mursel Gul,"07/22/2015: Assailants opened fire on a civilian in Istanbul city, Istanbul province, Turkey. The civilian was killed in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that Mursel Gul was targeted because the PKK believed he was an Islamic State of Iraq and the Levant (ISIL) member.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Firearms,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that Mursel Gul was targeted because the PKK believed he was an Islamic State of Iraq and the Levant (ISIL) member.
40236,2015,Turkey,Middle East & North Africa,Adana,Armed Assault,1,0.0,Civilian: Ethem Turkben,"07/22/2015: Assailants opened fire on a civilian in Seyhan district, Adana city, Adana province, Turkey. The civilian was killed in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that Ethem Turkben was targeted because the PKK believed he was an Islamic State of Iraq and the Levant (ISIL) supporter.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Firearms,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that Ethem Turkben was targeted because the PKK believed he was an Islamic State of Iraq and the Levant (ISIL) supporter.
40251,2015,Turkey,Middle East & North Africa,Lice,Bombing/Explosion,2,4.0,Convoy,"07/25/2015: An explosives-laden truck detonated and assailants opened fire on a Turkish military convoy in Lice town, Diyarbakir province, Turkey. Two soldiers were killed and four others were injured in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident.",Kurdistan Workers' Party (PKK),Military,Explosives,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40257,2015,Turkey,Middle East & North Africa,Nusaybin,Armed Assault,0,5.0,Police Station,"07/26/2015: Assailants attacked a police station in Nusaybin city, Mardin province, Turkey. Five officers were injured in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.",Kurdistan Workers' Party (PKK),Police,Explosives,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.
40259,2015,Turkey,Middle East & North Africa,Tatvan,Bombing/Explosion,0,0.0,Barracks,"07/26/2015: Assailants launched a rocket at a police barracks in Kultur neighborhood, Tatvan city, Bitlis province, Turkey. No casualties were reported. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.",Kurdistan Workers' Party (PKK),Police,Explosives,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.
40260,2015,Turkey,Middle East & North Africa,Malazgirt,Assassination,1,1.0,Major: Arslan Kulaksiz,"07/27/2015: Assailants opened fire on Major Arslan Kulaksiz in Malazgirt district, Mus province, Turkey. Kulaksiz, a district gendarmerie commander, was killed and one other person was injured in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident.",Kurdistan Workers' Party (PKK),Military,Firearms,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40261,2015,Turkey,Middle East & North Africa,Caldiran district,Armed Assault,0,1.0,Vehicle,"07/27/2015: Assailants opened fire on a military vehicle along the Caldiran-Dogubayazit Highway near Mount Tendurek, Van province, Turkey. One soldier was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Military,Firearms,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40262,2015,Turkey,Middle East & North Africa,Ercis district,Armed Assault,0,2.0,Watch Box,"07/27/2015: Assailants opened fire on a police position in Ercis district, Van province, Turkey. Two police officers were injured in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.",Kurdistan Workers' Party (PKK),Police,Firearms,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.
40264,2015,Turkey,Middle East & North Africa,Cizre,Bombing/Explosion,0,3.0,Officer,"07/28/2015: Assailants threw a grenade at police officers disbanding a protest site in Cizre district, Sirnak province, Turkey. Three people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Police,Explosives,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40265,2015,Turkey,Middle East & North Africa,Semdinli district,Armed Assault,1,0.0,Officer: Ziya Sarpkaya,"07/28/2015: An assailant opened fire on a soldier in Semdinli district, Hakkari province, Turkey. The soldier was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Military,Firearms,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40267,2015,Turkey,Middle East & North Africa,Cinar,Armed Assault,3,0.0,Officer: Mehmet Uyar,"07/29/2015: Assailants opened fire on police personnel in Cinar town, Diyarbakir province, Turkey. A police officer and two civilians were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Police,Firearms,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40268,2015,Turkey,Middle East & North Africa,Dogubeyazit district,Armed Assault,2,3.0,Soldiers,"07/29/2015: Assailants opened fire on Turkish Gendarmerie personnel near Dogubeyazit district, Agri province, Turkey. Two assailants were killed and three soldiers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Military,Firearms,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40272,2015,Turkey,Middle East & North Africa,Yuksekova district,Armed Assault,0,0.0,Housing Quarters,"07/28/2015: Assailants launched rockets at a police housing unit in Yuksekova district, Hakkari province, Turkey. No casualties were reported. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Police,Explosives,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40273,2015,Turkey,Middle East & North Africa,Akcay,Armed Assault,4,0.0,Convoy,"07/30/2015: Assailants opened fire on a military convoy in Akcay district, Sirnak province, Turkey. Three soldiers and an assailant were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Military,Firearms,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40274,2015,Turkey,Middle East & North Africa,Cizre,Armed Assault,1,0.0,Post,"07/30/2015: Assailants opened fire on a police post in Cizre town, Sirnak province, Turkey. An assailant was killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Police,Firearms,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40275,2015,Turkey,Middle East & North Africa,Diyarbakir,Bombing/Explosion,0,2.0,Security Booth,"07/30/2015: Assailants threw a cluster bomb at a security booth near the Diyarbakir Police Department building in Baglar district, Diyarbakir city, Diyarbakir province, Turkey. Two civilians were injured the blast. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.",Kurdistan Workers' Party (PKK),Police,Explosives,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent airstrikes by the Turkish military on the PKK in northern Iraq.
40276,2015,Turkey,Middle East & North Africa,Pozanti,Bombing/Explosion,4,0.0,Police Station,"07/31/2015: Eight assailants opened fire on a police station in Pozanti town, Adana province, Turkey. Two police officers and two assailants were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Police,Explosives,"The specific motive is unknown; however, sources suspected that the Kurdistan Workers' Party (PKK) may have carried out the attack in response to recent airstrikes by the Turkish military on the PKK in northern Iraq."
40278,2015,Turkey,Middle East & North Africa,Hani district,Bombing/Explosion,0,3.0,Convoy,"07/31/2015: A remote-controlled explosive device detonated targeting a military convoy in Hani district, Diyarbakir province, Turkey. Three soldiers were injured in the blast. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in response to recent Turkish military operations.",Kurdistan Workers' Party (PKK),Military,Explosives,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for recent Turkish military operations.
40623,2015,Turkey,Middle East & North Africa,Sanliurfa,Assassination,2,0.0,"Employees: Ibrahim Abdulkadir, Firaz Hamadi","10/30/2015: Assailants shot and killed Ibrahim Abdulkadir and Firaz Hamadi, two journalists for Ayn Vatan newspaper, in Sanliurfa town, Sanliurfa province, Turkey. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that Ibrahim Abdulkadir and Firaz Hamadi were targeted for working against ISIL.",Islamic State of Iraq and the Levant (ISIL),Journalists & Media,Firearms,The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that Ibrahim Abdulkadir and Firaz Hamadi were targeted for working against ISIL.
40766,2015,Turkey,Middle East & North Africa,Sur district,Armed Assault,2,2.0,President: Tahir Elci,"11/28/2015: Assailants opened fire at a Diyarbakir Bar Association press conference in Sur district, Diyarbakir province, Turkey. Tahir Elci, the president of the Diyarbakir Bar Association, and a police officer were killed and two police officers were injured in the attack. This was one of two related attacks in Sur district on this date. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Firearms,"The specific motive is unknown; however, sources noted that the attack occurred as Tahir Elci was advocating for an end of violence in Diyarbakir city."
40841,2015,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,1.0,Airport,"12/23/2015: An explosive device detonated at the Sabiha Gokcen International Airport tarmac in Istanbul, Turkey. An airport employee was killed, another employee was injured, and five planes were damaged in the blast. The Kurdistan Freedom Hawks (TAK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for operations in Kurdish areas.",Kurdistan Freedom Hawks (TAK),Airports & Aircraft,Explosives,The Kurdistan Freedom Hawks (TAK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for operations in Kurdish areas.
40858,2015,Turkey,Middle East & North Africa,Gaziantep,Assassination,1,0.0,Editor: Naji al-Jarf,"12/27/2015: Assailants opened fire on Naji al-Jarf in Gaziantep city, Gaziantep province, Turkey. Al-Jarf, the Hinta editor, was killed in the assault. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Islamic State of Iraq and the Levant (ISIL),Journalists & Media,Firearms,"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) carried out the attack because Naji al-Jarf had produced a film on Islamic State of Iraq and the Levant (ISIL)'s atrocities."
41073,2016,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,30,60.0,Convoy,"02/17/2016: A suicide bomber in an explosives-laden vehicle detonated targeting a military convoy in Ankara city, Ankara province, Turkey. In addition to the bomber, at least 29 people were killed and 60 people were injured in the blast. The Kurdistan Freedom Hawks claimed responsibility for the incident and stated that the attack was carried out in retaliation for Turkish military operations in Cizre district. Additionally, sources also attributed the attack to the Islamic State of Iraq and the Levant (ISIL) and the Kurdistan Workers' Party (PKK).",Kurdistan Freedom Hawks (TAK),Military,Explosives,The Kurdistan Freedom Hawks (TAK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for Turkish military operations in Cizre district.
41145,2016,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,39,125.0,Civilians,"03/13/2016: Two suicide bombers detonated an explosives-laden vehicle in Ankara city, Turkey. In addition to the assailants, at least 37 people were killed and 125 people were injured in the blast. The Kurdistan Freedom Falcons (TAK) claimed responsibility for the incident, stating that the attack was carried out in retaliation for military operations in Kurdish areas. Sources also attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Freedom Hawks (TAK),Private Citizens & Property,Explosives,The Kurdistan Freedom Hawks (TAK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for military operations in Kurdish areas.
41180,2016,Turkey,Middle East & North Africa,Hani,Bombing/Explosion,0,0.0,Building,"03/17/2016: Security forces discovered and defused an explosives-laden vehicle in Hani, Diyarbakir, Turkey. No group claimed responsibility for the incident.",Unknown,Government (General),Explosives,"The specific motive is unknown; however, sources suspected that the attack was intended to commemorate a World War I battle."
41249,2016,Turkey,Middle East & North Africa,Hani,Bombing/Explosion,2,46.0,Gendarmerie Command,"04/11/2016: Assailants detonated an explosives-laden vehicle and opened fire at a military outpost in Hani, Diyarbakir, Turkey. At least two soldiers were killed and 46 others, including civilians and military personnel, were injured in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in revenge for the death of a PKK member and military operations against the group.",Kurdistan Workers' Party (PKK),Military,Explosives,The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in revenge for the death of a PKK member and military operations against the group.
41368,2016,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,1.0,Editor-in-Chief: Can Dundar,"05/06/2016: An assailant opened fire on Can Dundar in Istanbul, Turkey. Dundar, the editor-in-chief of Cumhuriyet, was unharmed, but at least one journalist was injured in the assault. An individual, identified as Murat Sahin, claimed responsibility for the incident and accused the victim of being a ""traitor."" However, sources suspected that the attack may have been carried out by the Islamic State of Iraq and the Levant (ISIL).",Islamic State of Iraq and the Levant (ISIL),Journalists & Media,Firearms,"An individual, identified as Murat Sahin, claimed responsibility for the incident and accused the victim of being a ""traitor;"" however, sources suspected that the Islamic State of Iraq and the Levant (ISIL) may have been involved in the attack."
41521,2016,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,13,35.0,Vehicle,"06/07/2016: A suicide bomber detonated an explosives-laden vehicle targeting a police bus in Beyazit neighborhood, Istanbul, Turkey. In addition to the assailant, at least 12 people, including police officers and civilians, were killed and 35 people were injured in the blast. The Kurdistan Freedom Hawks (TAK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for recent military operations. However, sources also attributed the attack to the Kurdistan Workers' Party (PKK).",Kurdistan Freedom Hawks (TAK),Police,Explosives,The Kurdistan Freedom Hawks (TAK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for recent military operations.
41569,2016,Turkey,Middle East & North Africa,Istanbul,Unarmed Assault,0,1.0,Record Store,"06/17/2016: Twenty assailants attacked a record store in Istanbul, Turkey. At least one person was injured in the assault. No group claimed responsibility for the incident; however, sources suspected that the record store was targeted for holding a listening session during Ramadan.",Unknown,Business,Melee,"The specific motive is unknown; however, sources suspected that the record store was targeted for holding a listening session during Ramadan."
41602,2016,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,48,235.0,Airport,"06/28/2016: Three suicide bombers opened fire before detonating their explosives-laden vests at Ataturk Airport in Istanbul, Turkey. In addition to the assailants, at least 45 people were killed and 235 people were injured in the attack. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",Islamic State of Iraq and the Levant (ISIL),Airports & Aircraft,Explosives,"The specific motive is unknown; however, sources suspected that the Islamic State of Iraq and the Levant (ISIL) intended to damage Turkey's tourism industry."
41656,2016,Turkey,Middle East & North Africa,Unknown,Armed Assault,0,0.0,Convoy of Turkish Prime Minister: Binali Yildirim,"07/15/2016: Assailants opened fire on the convoy of the Turkish Prime Minister, Binali Yildirim, in Kastamonu, Turkey. No casualties were reported in the attack. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Government (General),Firearms,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41658,2016,Turkey,Middle East & North Africa,Ankara,Armed Assault,0,1.0,Building,"07/15/2016: Assailants raided the Turkish Radio and Television Corporation (TRT) broadcaster building in Ankara, Turkey. One civilian was wounded in the attack. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Journalists & Media,Firearms,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41659,2016,Turkey,Middle East & North Africa,Ankara,Armed Assault,6,0.0,General Staff Headquaters,"07/15/2016: A helicopter opened fire on the General Staff headquarters in Ankara, Turkey. Five civilians and a police officer were killed in the attack. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Military,Firearms,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41660,2016,Turkey,Middle East & North Africa,Ankara,Armed Assault,3,0.0,Police Station,"07/16/2016: Aircraft opened fire on a police station in Ankara, Turkey. This was one of 20 coordinated attacks, and one of two attacks with related casualties carried out in Turkey overnight. At least six police officers were killed between this and a related attack. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Police,Firearms,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41661,2016,Turkey,Middle East & North Africa,Ankara,Armed Assault,3,0.0,Police Station,"07/16/2016: Aircraft opened fire on a police station in Ankara, Turkey. This was one of 20 coordinated attacks, and one of two attacks with related casualties carried out in Turkey overnight. At least six police officers were killed between this and a related attack. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Police,Firearms,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41662,2016,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,3,0.0,Building,"07/15/2016: Aircraft fired projectiles at the TURKSAT satellite and communication agency in Golbasi, Ankara, Turkey. Three people were killed in the blast. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Business,Explosives,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41663,2016,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,5,0.0,Command Center,"07/15/2016: Aircraft dropped two explosive devices on a gendarmerie command center in Bestepe, Ankara, Turkey. Five civilians were killed in the blast. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Military,Explosives,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41664,2016,Turkey,Middle East & North Africa,Ankara,Armed Assault,7,0.0,Civilians,"07/15/2016: Assailants opened fire on civilians in Kazan, Ankara, Turkey. Seven civilians were killed in the attack. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Private Citizens & Property,Firearms,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41665,2016,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,43,0.0,Vehicles,"07/15/2016: Aircraft attacked service trucks transporting police officers near the Special Forces Center in Golbasi, Ankara, Turkey. At least 42 police officers and an imam were killed in the attack. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Police,Explosives,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41666,2016,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,0.0,Tanks,"07/15/2016: Aircraft attacked tanks guarding the presidential palace in Ankara, Turkey. There were no reported casualties in the attack. This was one of 20 coordinated attacks, and one of two attacks with related casualties carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Military,Explosives,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41667,2016,Turkey,Middle East & North Africa,Marmaris,Armed Assault,2,0.0,President: Recep Tayyip Erdogan,"07/16/2016: Assailants attacked the hotel where President Erdogan had been staying in Marmaris, Mugla, Turkey. Two police officers were killed in the attack. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Government (General),Firearms,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41671,2016,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,12.0,Parliament Building,"07/16/2016: Multiple explosive devices detonated at the Parliament building in Ankara, Turkey. At least 12 police officers were wounded in the attack. This was one of 20 coordinated attacks carried out in Turkey overnight. The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. In addition, sources attributed the attack to the Fetullah Terrorist Organization.",Peace at Home Council,Government (General),Explosives,"The Peace at Home Council claimed responsibility for the incident and stated that individuals who ""have betrayed the country"" would stand trial. Sources also noted that the attack was part of an attempted military coup in Turkey."
41870,2016,Turkey,Middle East & North Africa,Cizre,Bombing/Explosion,13,77.0,Checkpoint,"08/26/2016: A suicide bomber detonated an explosives-laden vehicle near a Turkish National Police (EGM) checkpoint in Cizre, Sirnak, Turkey. In addition to the bomber, at least 12 people were killed and 77 others, 74 officers and three civilians, were injured in the blast. The Kurdistan Workers' Party (PKK) claimed responsibility and stated that the attack was carried out in retaliation for the detainment of PKK leader Abdullah Ocalan.",Kurdistan Workers' Party (PKK),Police,Explosives,"The Kurdistan Workers' Party (PKK) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the detainment of PKK leader, Abdullah Ocalan."
